node,node,weight
图书馆逸夫楼,学术交流中心,8
研究生公寓3号楼,科技处,2
崇真书院,本科生公寓5号楼,8
本科生公寓1号楼,河东浴室,10
心理健康教育与咨询中心,生物实验楼,4
生物实验楼,基建处,8
第三教学楼,数统楼,3
数统楼,本科生公寓1号楼,7
教育学部楼,银之春西餐厅,8
篮球场,国际教育中心,1
篮球场,莲花路警卫室,8
外语学院楼,梅陇井,2
学生活动中心,后勤保障部,1
基建处,校园警卫室,7
青年教师公寓,河东浴室,7
立体停车库,东操场,10
虹梅路警卫室,教育学部楼,6
游泳馆,秋实阁,3
科技处,后勤保障部,7
档案馆,学术交流中心,7
法学院楼,闵行图书馆,1
学术交流中心,崇真书院,9
河西食堂,本科生公寓4号楼,4
第三教学楼,心理健康教育与咨询中心,4
生物实验楼,排球场,3
本科生公寓3号楼,物理信息楼,8
河东浴室,丽娃食堂,4
秋实阁,丽娃食堂,5
华闵餐厅,翔华书店,5
人文学院楼,实验A楼,3
共青场,河西浴室,5
计算机中心,丽虹桥,10
学生活动中心,法商楼,9
梅陇井,计算机中心,5
商学院楼,美术学院楼,8
地理馆,虹梅路警卫室,2
第三教学楼,资产管理处,10
心理健康教育与咨询中心,本科生公寓4号楼,8
图书馆逸夫楼,数统楼,7
教育学部楼,本科生公寓4号楼,2
心理与认知科学学院楼,外语学院楼,1
审计处,申云轩餐厅,4
体育健康楼,校史馆,5
音乐学院楼,实验B楼,3
档案馆,物理信息楼,4
桃李园广场,本科生公寓5号楼,9
翔华书店,信息楼,10
物理信息楼,物理楼,1
河西食堂,虹梅路警卫室,1
足球场,研究生公寓1号楼,3
秋实阁,闵行图书馆,1
研究生公寓2号楼,体育健康楼,9
闵行校区大门,本科生公寓5号楼,6
申云轩餐厅,地理馆,4
本科生公寓1号楼,后勤保障部,8
学术交流中心,法商楼,8
生命科学学院楼,学校办公室,1
闵行校区大门,丽娃河,4
物理信息楼,研究生公寓3号楼,4
虹梅路警卫室,秋林阁,5
实验教学中心,田径场,7
物理楼,校园警卫室,6
华闵餐厅,百花园餐厅,4
共青场,信息楼,1
人事处,紫竹广场,10
研究生公寓2号楼,立体停车库,8
丽娃湖,信息化办公室,4
中北校区大门,教育学部楼,5
梅陇井,生命科学学院楼,3
河东食堂,综合体育馆,10
商学院楼,数统楼,8
游泳馆,河口海岸大楼,2
河口海岸大楼,莲花路警卫室,2
第一教学楼,档案馆,9
基建处,地理馆,8
马克思主义学院楼,柳长桥,10
第二教学楼,资产管理处,5
排球场,物理信息楼,4
闵行图书馆,实验教学中心,10
青年教师公寓,法商楼,4
信息化办公室,丽虹桥,1
柳长桥,国际教育中心,5
计算机中心,闵行校区大门,6
河东食堂,闵行图书馆,10
西操场,国际教育中心,10
物理楼,教育学部楼,1
SPF实验动物中心,共青场,1
田径场,法商楼,2
心理健康教育与咨询中心,闵行校区大门,6
教育学部楼,桃李园广场,4
申云轩餐厅,心理健康教育与咨询中心,9
信息化办公室,河东食堂,4
计算机中心,心中书社,10
翔华书店,河口海岸大楼,9
行政楼,生物实验楼,2
本科生公寓1号楼,立体停车库,7
紫竹广场,河口海岸大楼,10
人事处,计算机中心,6
SPF实验动物中心,足球场,9
教育学部楼,人事处,4
体育健康楼,国际教育中心,8
青年教师公寓,化学实验楼,10
田径场,秋林阁,7
河西浴室,第二教学楼,6
丽娃河,西操场,2
研究生公寓2号楼,实验B楼,5
虹梅路警卫室,柳长桥,8
排球场,闵行校区大门,9
统计学院楼,数统楼,7
本科生公寓3号楼,马克思主义学院楼,3
河西食堂,桃李园广场,9
游泳馆,美术学院楼,4
人文学院楼,田径场,4
外语学院楼,生物实验楼,4
心中书社,本科生公寓4号楼,7
心中书社,法商楼,2
青年教师公寓,物理信息楼,2
计算机中心,物理楼,6
桃李园广场,人事处,4
丽娃食堂,数统楼,7
秋林阁,研究生公寓1号楼,6
百花园餐厅,后勤保障部,9
物理信息楼,实验A楼,7
实验B楼,实验教学中心,8
丽娃河,校史馆,4
本科生公寓1号楼,本科生公寓3号楼,10
SPF实验动物中心,本科生公寓1号楼,4
商学院楼,虹梅路警卫室,6
共青场,化学实验楼,3
河西食堂,第四教学楼,5
百花园餐厅,翔华书店,6
美术学院楼,实验B楼,8
田径场,行政楼,7
心理健康教育与咨询中心,统计学院楼,10
河西浴室,统计学院楼,8
银之春西餐厅,计算机中心,5
翔华书店,秋实阁,5
生物实验楼,丽娃河,6
美术学院楼,马克思主义学院楼,1
翔华书店,闵行图书馆,8
思群堂,地理馆,8
丽娃河,国际教育中心,4
丽娃湖,足球场,1
第三教学楼,群贤堂,8
综合体育馆,资产管理处,5
实验A楼,科技处,10
数统楼,法学院楼,2
学生活动中心,法学院楼,7
学生活动中心,物理楼,6
西操场,本科生公寓4号楼,6
本科生公寓5号楼,梅陇井,5
统计学院楼,第二教学楼,5
河东食堂,本科生公寓3号楼,9
审计处,人文学院楼,10
地理馆,秋林阁,7
河东浴室,田径场,1
本科生公寓4号楼,校园警卫室,9
申云轩餐厅,足球场,7
心中书社,思群堂,4
排球场,第四教学楼,4
闵行校区大门,闵行图书馆,10
统计学院楼,行政楼,2
科技处,信息楼,10
丽娃浴室,思群堂,6
第二教学楼,紫竹广场,10
物理信息楼,教育学部楼,1
SPF实验动物中心,秋实阁,3
法商楼,丽娃浴室,8
实验B楼,本科生公寓2号楼,4
本科生公寓3号楼,商学院楼,3
桃李园广场,丽娃食堂,8
人事处,申云轩餐厅,7
校医院,河西浴室,4
校史馆,心中书社,1
虹梅路警卫室,信息化办公室,5
国际教育中心,虹梅路警卫室,10
排球场,研究生公寓3号楼,7
行政楼,学术交流中心,8
信息楼,本科生公寓4号楼,9
团委,生命科学学院楼,10
档案馆,排球场,5
河东浴室,心中书社,9
人文学院楼,河口海岸大楼,3
学校办公室,校园警卫室,2
生命科学学院楼,翔华书店,10
研究生公寓2号楼,研究生公寓3号楼,7
河口海岸大楼,心理健康教育与咨询中心,10
综合体育馆,河东浴室,2
本科生公寓2号楼,团委,2
科技处,百花园餐厅,2
综合体育馆,物理信息楼,1
共青场,群贤堂,2
闵行校区大门,资产管理处,3
银之春西餐厅,丽虹桥,10
第四教学楼,群贤堂,5
梅陇井,学生活动中心,2
学校办公室,青年教师公寓,5
立体停车库,研究生公寓1号楼,8
生命科学学院楼,篮球场,4
研究生公寓3号楼,实验A楼,8
实验A楼,桃李园广场,7
信息化办公室,游泳馆,10
本科生公寓5号楼,河东食堂,1
信息化办公室,基建处,5
第一教学楼,研究生公寓3号楼,4
崇真书院,实验A楼,4
本科生公寓2号楼,人文学院楼,6
商学院楼,桃李园广场,1
本科生公寓4号楼,后勤保障部,4
中北校区大门,群贤堂,10
青年教师公寓,生命科学学院楼,2
河西食堂,崇真书院,1
档案馆,柳长桥,4
崇真书院,群贤堂,1
丽娃湖,人文学院楼,1
第四教学楼,后勤保障部,7
本科生公寓3号楼,人事处,9
外语学院楼,行政楼,10
物理楼,梅陇井,7
研究生公寓3号楼,桃李园广场,2
丽娃浴室,第一教学楼,3
闵行校区大门,银之春西餐厅,9
心理健康教育与咨询中心,档案馆,3
足球场,行政楼,1
学生活动中心,统计学院楼,5
法商楼,综合体育馆,10
河东食堂,实验B楼,8
河西浴室,行政楼,9
审计处,实验教学中心,3
丽娃河,学校办公室,6
申云轩餐厅,翔华书店,6
第一教学楼,申云轩餐厅,6
篮球场,美术学院楼,8
本科生公寓5号楼,闵行图书馆,10
校史馆,人文学院楼,1
马克思主义学院楼,桃李园广场,10
思群堂,申云轩餐厅,10
第三教学楼,行政楼,5
外语学院楼,校史馆,2
莲花路警卫室,本科生公寓2号楼,3
行政楼,科技处,5
团委,研究生公寓3号楼,5
银之春西餐厅,申云轩餐厅,4
本科生公寓5号楼,河西浴室,1
计算机中心,本科生公寓6号楼,2
莲花路警卫室,外语学院楼,3
丽娃湖,学生资助管理中心,8
闵行图书馆,行政楼,8
音乐学院楼,综合体育馆,9
科技处,丽娃湖,5
本科生公寓6号楼,田径场,10
研究生公寓4号楼,本科生公寓5号楼,10
统计学院楼,第三教学楼,6
研究生公寓4号楼,化学实验楼,7
西操场,秋实阁,3
立体停车库,化学实验楼,8
心理健康教育与咨询中心,学生活动中心,5
中北校区大门,学生资助管理中心,8
梅陇井,校园警卫室,8
莲花路警卫室,研究生公寓4号楼,6
紫竹广场,本科生公寓5号楼,2
河东食堂,图书馆逸夫楼,8
行政楼,实验B楼,4
物理楼,百花园餐厅,7
莲花路警卫室,游泳馆,8
团委,美术学院楼,2
物理楼,音乐学院楼,10
河西浴室,研究生公寓2号楼,1
本科生公寓6号楼,科技处,5
心理与认知科学学院楼,档案馆,3
河口海岸大楼,外语学院楼,7
法商楼,本科生公寓5号楼,7
本科生公寓5号楼,游泳馆,5
银之春西餐厅,学生活动中心,3
实验A楼,外语学院楼,9
河口海岸大楼,桃李园广场,6
丽娃食堂,校医院,3
美术学院楼,河口海岸大楼,2
篮球场,秋实阁,4
校医院,信息化办公室,10
秋林阁,后勤保障部,9
排球场,学生资助管理中心,6
学生资助管理中心,心理健康教育与咨询中心,8
学术交流中心,校史馆,2
第三教学楼,东操场,7
统计学院楼,东操场,2
银之春西餐厅,心理与认知科学学院楼,9
信息化办公室,河西食堂,2
本科生公寓1号楼,地理馆,1
本科生公寓3号楼,团委,4
心理与认知科学学院楼,闵行图书馆,1
丽虹桥,学术交流中心,8
本科生公寓2号楼,学生资助管理中心,7
人文学院楼,梅陇井,3
紫竹广场,立体停车库,9
国际教育中心,丽娃浴室,4
音乐学院楼,河东食堂,6
本科生公寓6号楼,档案馆,2
梅陇井,法学院楼,9
计算机中心,闵行图书馆,6
河口海岸大楼,第三教学楼,5
紫竹广场,田径场,10
校史馆,研究生公寓2号楼,2
音乐学院楼,青年教师公寓,8
本科生公寓2号楼,第三教学楼,7
第三教学楼,人文学院楼,6
河东食堂,秋实阁,6
本科生公寓1号楼,校史馆,10
校医院,实验教学中心,1
研究生公寓2号楼,心理与认知科学学院楼,4
立体停车库,本科生公寓4号楼,3
河西浴室,教育学部楼,3
本科生公寓5号楼,虹梅路警卫室,3
河西浴室,柳长桥,8
实验教学中心,校史馆,8
数统楼,丽娃湖,6
研究生公寓3号楼,实验B楼,3
行政楼,美术学院楼,8
心理与认知科学学院楼,音乐学院楼,3
第四教学楼,丽娃食堂,3
计算机中心,商学院楼,4
秋实阁,桃李园广场,8
外语学院楼,本科生公寓1号楼,6
河东食堂,研究生公寓3号楼,8
游泳馆,排球场,9
紫竹广场,行政楼,5
人文学院楼,闵行图书馆,10
物理楼,资产管理处,3
丽娃食堂,实验A楼,9
翔华书店,本科生公寓6号楼,10
美术学院楼,河东食堂,1
后勤保障部,法学院楼,1
百花园餐厅,美术学院楼,6
心中书社,丽娃食堂,9
本科生公寓1号楼,本科生公寓6号楼,3
地理馆,河东浴室,3
华闵餐厅,商学院楼,6
SPF实验动物中心,基建处,1
排球场,国际教育中心,1
丽虹桥,丽娃浴室,8
实验A楼,河东浴室,10
学生活动中心,数统楼,8
本科生公寓1号楼,化学实验楼,1
崇真书院,资产管理处,6
校医院,生物实验楼,3
研究生公寓2号楼,崇真书院,1
第四教学楼,共青场,2
梅陇井,秋林阁,4
生物实验楼,心中书社,1
档案馆,国际教育中心,4
校医院,体育健康楼,3
国际教育中心,研究生公寓1号楼,4
国际教育中心,梅陇井,7
美术学院楼,国际教育中心,3
综合体育馆,后勤保障部,3
第一教学楼,美术学院楼,3
行政楼,本科生公寓3号楼,3
学校办公室,物理楼,1
后勤保障部,本科生公寓2号楼,7
闵行校区大门,足球场,3
丽娃食堂,本科生公寓3号楼,3
马克思主义学院楼,丽娃浴室,1
本科生公寓2号楼,崇真书院,1
学生活动中心,本科生公寓2号楼,6
东操场,本科生公寓4号楼,5
丽娃湖,研究生公寓1号楼,7
河东浴室,足球场,4
第四教学楼,国际教育中心,3
心理与认知科学学院楼,法学院楼,10
柳长桥,生命科学学院楼,7
篮球场,信息化办公室,4
生物实验楼,河东浴室,5
游泳馆,本科生公寓4号楼,5
实验教学中心,人事处,4
马克思主义学院楼,校园警卫室,7
体育健康楼,柳长桥,6
闵行图书馆,档案馆,2
群贤堂,审计处,5
足球场,紫竹广场,6
本科生公寓3号楼,人文学院楼,1
西操场,本科生公寓6号楼,4
丽娃食堂,后勤保障部,5
第三教学楼,第一教学楼,4
思群堂,音乐学院楼,4
秋实阁,青年教师公寓,5
申云轩餐厅,河东食堂,1
实验B楼,梅陇井,5
西操场,华闵餐厅,5
梅陇井,心中书社,10
东操场,华闵餐厅,8
闵行校区大门,教育学部楼,8
实验A楼,百花园餐厅,5
学术交流中心,本科生公寓5号楼,1
国际教育中心,东操场,3
丽娃浴室,田径场,3
申云轩餐厅,SPF实验动物中心,4
崇真书院,生命科学学院楼,4
共青场,马克思主义学院楼,10
心理与认知科学学院楼,秋林阁,8
统计学院楼,足球场,5
综合体育馆,审计处,8
崇真书院,丽虹桥,6
青年教师公寓,第四教学楼,9
校医院,学生活动中心,5
物理楼,第二教学楼,3
西操场,虹梅路警卫室,2
实验B楼,本科生公寓3号楼,2
生物实验楼,人文学院楼,10
河西食堂,学术交流中心,5
图书馆逸夫楼,虹梅路警卫室,6
基建处,翔华书店,9
物理信息楼,丽虹桥,2
翔华书店,后勤保障部,5
篮球场,SPF实验动物中心,2
排球场,丽娃食堂,9
立体停车库,人事处,9
物理楼,实验B楼,7
商学院楼,团委,6
河口海岸大楼,实验B楼,8
本科生公寓6号楼,本科生公寓2号楼,10
综合体育馆,第二教学楼,7
秋林阁,百花园餐厅,5
游泳馆,西操场,7
SPF实验动物中心,本科生公寓2号楼,5
桃李园广场,综合体育馆,3
丽娃食堂,本科生公寓2号楼,7
国际教育中心,信息楼,4
排球场,丽娃湖,9
教育学部楼,梅陇井,1
篮球场,本科生公寓1号楼,5
学生活动中心,学术交流中心,3
柳长桥,教育学部楼,5
丽虹桥,第二教学楼,9
心中书社,紫竹广场,1
群贤堂,信息楼,7
思群堂,档案馆,1
物理楼,体育健康楼,1
河西食堂,河西浴室,9
法商楼,柳长桥,10
心理与认知科学学院楼,综合体育馆,10
柳长桥,申云轩餐厅,2
共青场,研究生公寓2号楼,10
百花园餐厅,体育健康楼,6
本科生公寓6号楼,河东食堂,4
立体停车库,生物实验楼,6
基建处,体育健康楼,3
学校办公室,实验B楼,7
化学实验楼,莲花路警卫室,7
法学院楼,研究生公寓2号楼,6
本科生公寓5号楼,莲花路警卫室,2
物理信息楼,西操场,8
研究生公寓3号楼,体育健康楼,10
计算机中心,心理与认知科学学院楼,9
本科生公寓4号楼,学校办公室,8
生命科学学院楼,学生资助管理中心,9
人事处,东操场,1
学生活动中心,研究生公寓1号楼,9
游泳馆,学校办公室,6
游泳馆,马克思主义学院楼,2
排球场,外语学院楼,3
丽虹桥,青年教师公寓,9
地理馆,审计处,1
秋林阁,数统楼,8
河西食堂,华闵餐厅,5
后勤保障部,申云轩餐厅,1
本科生公寓5号楼,人文学院楼,7
桃李园广场,科技处,1
排球场,足球场,7
马克思主义学院楼,莲花路警卫室,1
研究生公寓1号楼,本科生公寓4号楼,6
马克思主义学院楼,银之春西餐厅,6
法商楼,人事处,8
梅陇井,足球场,1
法学院楼,本科生公寓4号楼,7
莲花路警卫室,美术学院楼,5
第四教学楼,生命科学学院楼,9
生命科学学院楼,科技处,5
桃李园广场,第二教学楼,1
商学院楼,学生资助管理中心,6
计算机中心,桃李园广场,8
图书馆逸夫楼,青年教师公寓,9
中北校区大门,闵行图书馆,3
信息楼,研究生公寓3号楼,3
生物实验楼,银之春西餐厅,1
研究生公寓4号楼,排球场,10
基建处,法学院楼,6
立体停车库,共青场,4
美术学院楼,统计学院楼,1
团委,群贤堂,3
研究生公寓4号楼,西操场,4
音乐学院楼,虹梅路警卫室,10
校医院,教育学部楼,3
商学院楼,研究生公寓3号楼,5
莲花路警卫室,学术交流中心,6
银之春西餐厅,信息楼,3
心理健康教育与咨询中心,学校办公室,4
梅陇井,秋实阁,9
实验教学中心,崇真书院,2
音乐学院楼,教育学部楼,9
游泳馆,后勤保障部,1
团委,丽娃湖,6
教育学部楼,生命科学学院楼,5
河西浴室,足球场,7
桃李园广场,基建处,4
校史馆,虹梅路警卫室,10
申云轩餐厅,学生资助管理中心,3
河东浴室,中北校区大门,6
商学院楼,青年教师公寓,9
信息楼,游泳馆,2
梅陇井,信息化办公室,10
中北校区大门,心中书社,4
本科生公寓6号楼,人事处,10
外语学院楼,人文学院楼,3
第三教学楼,学术交流中心,4
本科生公寓6号楼,教育学部楼,4
游泳馆,图书馆逸夫楼,5
银之春西餐厅,团委,1
共青场,后勤保障部,6
第三教学楼,崇真书院,7
校史馆,生命科学学院楼,2
生物实验楼,图书馆逸夫楼,10
基建处,排球场,3
秋林阁,学校办公室,1
百花园餐厅,群贤堂,8
共青场,闵行图书馆,7
研究生公寓3号楼,本科生公寓3号楼,6
团委,本科生公寓4号楼,8
生命科学学院楼,资产管理处,3
丽娃浴室,本科生公寓2号楼,8
秋林阁,莲花路警卫室,2
心理与认知科学学院楼,本科生公寓4号楼,6
法商楼,校医院,10
校医院,紫竹广场,5
基建处,虹梅路警卫室,8
校园警卫室,第四教学楼,9
银之春西餐厅,河东浴室,6
生物实验楼,桃李园广场,3
美术学院楼,学生活动中心,9
桃李园广场,物理楼,6
翔华书店,实验B楼,9
马克思主义学院楼,丽娃湖,7
学校办公室,本科生公寓3号楼,10
计算机中心,群贤堂,1
百花园餐厅,实验B楼,4
外语学院楼,法学院楼,1
丽虹桥,紫竹广场,9
研究生公寓1号楼,丽娃河,1
丽虹桥,河东浴室,6
丽娃河,田径场,5
物理信息楼,立体停车库,2
青年教师公寓,信息楼,10
物理楼,人事处,9
第四教学楼,人文学院楼,9
丽娃食堂,中北校区大门,5
闵行校区大门,华闵餐厅,2
群贤堂,本科生公寓6号楼,9
本科生公寓4号楼,实验B楼,1
音乐学院楼,排球场,10
游泳馆,丽娃湖,9
桃李园广场,本科生公寓4号楼,10
图书馆逸夫楼,综合体育馆,3
虹梅路警卫室,数统楼,1
群贤堂,基建处,8
学生资助管理中心,生物实验楼,7
本科生公寓5号楼,本科生公寓4号楼,4
第一教学楼,梅陇井,2
化学实验楼,学生活动中心,5
丽虹桥,美术学院楼,2
闵行图书馆,秋林阁,8
翔华书店,地理馆,5
闵行校区大门,柳长桥,4
体育健康楼,西操场,5
商学院楼,第四教学楼,10
游泳馆,立体停车库,7
研究生公寓1号楼,计算机中心,4
生命科学学院楼,秋实阁,10
体育健康楼,马克思主义学院楼,2
中北校区大门,后勤保障部,5
本科生公寓2号楼,商学院楼,10
数统楼,化学实验楼,5
虹梅路警卫室,河西浴室,5
本科生公寓4号楼,百花园餐厅,6
游泳馆,本科生公寓3号楼,7
崇真书院,本科生公寓3号楼,10
国际教育中心,教育学部楼,4
美术学院楼,校园警卫室,8
后勤保障部,河东食堂,10
计算机中心,翔华书店,9
实验A楼,数统楼,10
本科生公寓6号楼,研究生公寓4号楼,5
河西浴室,实验A楼,7
桃李园广场,信息楼,4
美术学院楼,本科生公寓1号楼,9
信息化办公室,外语学院楼,10
华闵餐厅,档案馆,2
丽娃食堂,华闵餐厅,1
共青场,第二教学楼,7
心理与认知科学学院楼,翔华书店,1
研究生公寓2号楼,图书馆逸夫楼,2
研究生公寓2号楼,地理馆,9
足球场,本科生公寓4号楼,4
游泳馆,本科生公寓2号楼,1
莲花路警卫室,闵行图书馆,8
信息化办公室,人文学院楼,8
游泳馆,青年教师公寓,3
西操场,丽娃食堂,6
马克思主义学院楼,校史馆,10
本科生公寓6号楼,立体停车库,6
研究生公寓4号楼,闵行图书馆,2
第三教学楼,研究生公寓4号楼,3
桃李园广场,数统楼,10
本科生公寓2号楼,法学院楼,5
图书馆逸夫楼,研究生公寓1号楼,2
银之春西餐厅,外语学院楼,6
学生活动中心,研究生公寓3号楼,7
本科生公寓2号楼,资产管理处,7
马克思主义学院楼,第三教学楼,8
数统楼,科技处,1
信息化办公室,河口海岸大楼,2
学术交流中心,丽娃食堂,5
篮球场,心理与认知科学学院楼,1
莲花路警卫室,档案馆,10
河口海岸大楼,计算机中心,9
研究生公寓3号楼,生物实验楼,8
闵行校区大门,外语学院楼,3
音乐学院楼,学生活动中心,1
银之春西餐厅,本科生公寓1号楼,4
统计学院楼,虹梅路警卫室,6
马克思主义学院楼,国际教育中心,7
百花园餐厅,共青场,10
科技处,本科生公寓3号楼,6
心理与认知科学学院楼,行政楼,3
群贤堂,生物实验楼,5
物理信息楼,篮球场,5
柳长桥,学校办公室,4
信息化办公室,生命科学学院楼,4
行政楼,信息楼,1
计算机中心,信息化办公室,9
心中书社,第二教学楼,7
田径场,闵行校区大门,5
河西浴室,实验教学中心,7
SPF实验动物中心,丽娃浴室,2
本科生公寓6号楼,外语学院楼,7
学校办公室,研究生公寓3号楼,10
生命科学学院楼,音乐学院楼,10
信息化办公室,实验B楼,1
丽娃食堂,第二教学楼,3
实验教学中心,思群堂,1
共青场,信息化办公室,6
人文学院楼,地理馆,7
第一教学楼,中北校区大门,2
学生活动中心,丽虹桥,1
篮球场,闵行图书馆,1
外语学院楼,本科生公寓2号楼,6
本科生公寓5号楼,音乐学院楼,8
研究生公寓1号楼,法商楼,9
